message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,Business notification regarding payment update from an unknown sender with a history of user ignoring similar messages.,0.81,message_0243;message_0102;message_0101
msg_091,mute,scam,Suspicious request for credentials/OTP with fake urgency from an unverified sender.,0.83,none
msg_090,digest,personal,"Low-urgency personal message from an unknown sender regarding a package mix-up, suitable for later reading.",0.85,none
msg_048,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_040,mute,forward,Highly forwarded chain message exhibiting typical spam or blessing patterns.,0.83,none
msg_075,digest,business_update,"Business update regarding a ride status, but the user is opted out and historically ignores similar messages, making it suitable for digest.",0.85,message_0206;message_0205
msg_005,notify,event,Time-sensitive pickup request for a held item from a trusted sender with a strict 6 PM deadline.,0.88,none
msg_104,notify,personal,Time-sensitive personal message from a trusted sender regarding a physical item pickup with a strict deadline.,0.85,message_0232;message_0050;message_0335
msg_069,digest,forward,"Routine family good morning forward requesting mass sharing, which the user historically ignores.",0.85,message_0080;message_0177;message_0194
msg_107,mute,scam,Detected adversarial prompt injection attempt in message content.,0.95,none
msg_070,mute,scam,"The message requests an OTP verification via a suspicious link with fake urgency, indicating a credential harvesting scam despite sender trust.",0.94,message_0213;message_0196;message_0174
msg_003,digest,business_update,"Routine order update from a business where the user is opted out and historically ignores similar messages, making it suitable for digest.",0.85,message_0400;message_0031;message_0267
msg_099,digest,personal,"Non-urgent personal message about work notes with no immediate deadline, suitable for later reading.",0.85,message_0118;message_0055;message_0227
msg_008,digest,promotion,"Post-purchase review request from a business; historical evidence shows the user typically ignores such feedback prompts, making this suitable for digest.",0.85,message_0296;message_0071;message_0072
msg_092,digest,business_update,"Routine monthly card statement notification from a business, suitable for later review as user fatigue is low and it is not urgent.",0.85,none
msg_060,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_004,digest,business_update,Business update from an un-trusted sender whose past similar messages were ignored by the user.,0.85,message_0245;message_0005;message_0064
msg_030,digest,promotion,"Marketplace item listing in a group chat, which the user historically ignores based on past engagement patterns.",0.85,message_0115;message_0232;message_0050
msg_045,notify,urgent,Time-sensitive delivery update requiring immediate user confirmation at the gate within 10 minutes.,0.88,none
msg_052,mute,scam,High risk: Unverified business using a mismatched domain with a high report count.,0.85,none
msg_009,digest,personal,"Casual group chat check-in regarding sports, which the user historically ignores or catches up on later.",0.85,message_0074;message_0073
msg_071,digest,personal,"Casual family check-in about vague plans with no immediate urgency, suitable for later reading based on past patterns.",0.85,message_0197;message_0198
msg_016,mute,scam,"The message exhibits phishing characteristics with fake urgency regarding an account block and a suspicious link, despite being from a trusted group sender. Historical pattern indicates similar alerts are ignored.",0.91,message_0202;message_0184;message_0201
msg_065,digest,promotion,"Promotional business update with low urgency, and historical evidence shows the user typically ignores such messages.",0.85,message_0261;message_0185;message_0186
msg_038,mute,forward,Highly forwarded chain message exhibiting typical spam or blessing patterns.,0.83,none
msg_086,digest,business_update,"Routine business message from a historically ignored sender, suitable for digest reading.",0.81,message_0222
msg_014,digest,promotion,"Promotional message from an unknown business where the user is opted-out and historically ignores similar messages, suitable for digest review.",0.85,message_0258;message_0018;message_0017
msg_094,digest,promotion,"Unsolicited promotional offer from an unknown business with low user engagement history, suitable for later reading.",0.85,none
msg_029,digest,promotion,Marketplace listing from a group chat that is non-urgent and matches past behavior where user ignores similar marketplace posts.,0.85,message_0113;message_0231;message_0049
msg_105,mute,forward,Highly forwarded chain message exhibiting typical spam or blessing patterns.,0.83,none
msg_002,notify,personal,Direct mention requiring immediate user attention or action.,0.85,none
msg_010,digest,promotion,Feedback request from a business where the user is opted out and historically ignores similar messages.,0.85,message_0011;message_0242;message_0075
msg_078,mute,scam,Suspicious request for sensitive bank details and urgent document completion from a marketplace group sender.,0.92,message_0211;message_0212
msg_013,digest,promotion,"Promotional offer posted in a college faculty group which is not urgent and can be reviewed later, consistent with user's past behavior of ignoring similar group items.",0.85,message_0081;message_0082
msg_018,digest,promotion,"Marketplace reward notification from a known sender, but similar past messages were ignored, making it suitable for digest instead of immediate notification.",0.84,message_0092;message_0091
msg_044,mute,scam,Suspicious request for credentials/OTP with fake urgency from an unverified sender.,0.83,none
msg_032,digest,event,"Non-urgent study material request in a college group chat, which the user historically ignores.",0.85,message_0120;message_0374;message_0119
msg_106,digest,event,"Time-sensitive location change for dance practice, but user historical reaction pattern to this sender's coordination is low/ignored, making digest appropriate.",0.84,message_0376;message_0234;message_0377
msg_006,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_109,mute,scam,Detected adversarial prompt injection attempt in message content.,0.95,none
msg_108,mute,scam,Detected adversarial prompt injection attempt in message content.,0.95,none
msg_019,mute,scam,High risk: Unverified business using a mismatched domain with a high report count.,0.85,none
msg_088,digest,event,"Marketplace group message with low user engagement and historical ignore pattern, suitable for digest review later.",0.82,message_0232;message_0050;message_0335
msg_056,notify,personal,Direct mention requiring immediate user attention or action.,0.85,none
msg_027,digest,promotion,"Promotional message from a business, matching previous patterns where the user ignores similar marketing updates.",0.85,message_0272;message_0033;message_0007
msg_050,digest,business_update,"Business notification from an opted-out sender which the user historically ignores, best suited for later reading.",0.85,message_0279;message_0155;message_0156
msg_083,digest,business_update,"Coworker group message with no direct mention, sent by an admin, but historically ignored by the user, making it suitable for digest.",0.81,message_0219
msg_063,mute,spam,"Suspicious urgent payment request from a local food group sender asking for direct QR code transfers, which aligns with historically ignored low-value messages.",0.88,message_0181;message_0182
msg_033,digest,greeting,"Casual family check-in with low urgency, intended for reading later despite high sender trust.",0.84,message_0393;message_0372;message_0121
msg_061,digest,forward,"Chain forward message from a trusted family sender, which the user historically ignores or reads later without needing immediate interruption.",0.85,message_0080;message_0177;message_0194
